From	To	Reaction Type	Controller	Control Type	Cell Type	PMIDs	Genes	Drugs	Diseases
clopidogrel	clopidogrel carboxylic acid	Biochemical Reaction	CES1			25704243, 23111421, 16943252, 10440420		clopidogrel	
2-oxo-clopidogrel, glutathione	clopidogrel thiol metabolite H4	Biochemical Reaction	CYP2C19, CYP3A4			22374717, 21900914, 21301779, 19812348, 17361128, 12485953, 11127873			
2-oxo-clopidogrel	clopidogrel thiol metabolite H3	Biochemical Reaction	CYP2C19			22374717, 21301779			
clopidogrel	2-oxo-clopidogrel	Biochemical Reaction	CYP1A2, CYP2B6, CYP2C19, CYP3A4			29397568, 25008027, 22374717, 19812348, 19706858, 19106083, 16772608		clopidogrel	
2-oxo-clopidogrel	clopidogrel endo-thiol	Biochemical Reaction	PON1			23418418, 22374717, 22103858, 21819538, 21900914, 21301779, 21170047			
clopidogrel carboxylic acid	clopidogrel acyl glucuronide	Biochemical Reaction	UGT2B4, UGT2B7			29240983, 29138287			
2-oxo-clopidogrel	clopidogrel thiol metabolite H2	Biochemical Reaction				21301779			
clopidogrel thiol metabolite H4	P2RY12	Inhibition				15199474, 11127873	P2RY12		
clopidogrel	clopidogrel	Transport				1510701		clopidogrel	
clopidogrel	clopidogrel	Transport				10440420, 10440419		clopidogrel	
clopidogrel	clopidogrel	Transport	ABCB1			27380588, 23056288, 20801498, 19106083, 17112805		clopidogrel	
