From	To	Reaction Type	Controller	Control Type	Cell Type	PMIDs	Genes	Drugs	Diseases
leucovorin	TYMS	Activation				15638735, 12724731	TYMS	leucovorin	
proteins	methylated proteins	Biochemical Reaction	methyl transferases			19812215			
5,10-methylenetetrahydrofolate	dihydrofolic acid	Biochemical Reaction	TYMS			19812215, 19902562, 12604405, 12084458, 11986237			
adenosine monophosphate	adenosine diphosphate	Biochemical Reaction				12106498			
inosine monophosphate	adenosine monophosphate	Biochemical Reaction				12106498			
deoxyuridine monophosphate	deoxythymidine monophosphate	Biochemical Reaction	TYMS			16098809			
inosine	hypoxanthine	Biochemical Reaction				12106498			
5,10-methylenetetrahydrofolate	5,10-methenyltetrahydrofolate	Biochemical Reaction	MTHFD1			19812215, 14647408			
adenosine diphosphate	adenosine triphosphate	Biochemical Reaction				12106498			
adenosine	inosine	Biochemical Reaction	ADA			12106498		adenosine	
tetrahydrofolic acid	10-formyltetrahydrofolate	Biochemical Reaction	MTHFD1			19812215			
5,10-methenyltetrahydrofolate	10-formyltetrahydrofolate	Biochemical Reaction	MTHFD1			19812215, 14647408			
inosine monophosphate	inosine	Biochemical Reaction				12106498			
5,10-methenyltetrahydrofolate	leucovorin	Biochemical Reaction	MTHFS			19812215, 3801490			
adenosine monophosphate	adenosine	Biochemical Reaction	NT5E			12106498		adenosine	
tetrahydrofolic acid	5,10-methylenetetrahydrofolate	Biochemical Reaction	SHMT1			19812215, 15797993			
dihydrofolic acid	tetrahydrofolic acid	Biochemical Reaction	DHFR			19812215, 14529544, 12084458			
5,10-methylenetetrahydrofolate	levomefolic acid	Biochemical Reaction	MTHFR			19812215, 15797993, 14647408			
glycine	l-serine	Biochemical Reaction	SHMT1			19812215			
DNA	methylated DNA	Biochemical Reaction	methyl transferases			19812215			
dl-homocysteine	cystathionine	Biochemical Reaction	CBS			19812215, 16013960			
methionine	s-adenosylmethionine	Biochemical Reaction				19812215			
s-adenosylhomocysteine	dl-homocysteine	Biochemical Reaction				19812215			
levomefolic acid	tetrahydrofolic acid	Biochemical Reaction	MTR, MTRR, cyanocobalamin			19812215			
dl-homocysteine	methionine	Biochemical Reaction	MTR, MTRR, cyanocobalamin			19812215, 17611986, 15797993			
s-adenosylmethionine	s-adenosylhomocysteine	Biochemical Reaction	methyl transferases			19812215			
methotrexate	TYMS	Inhibition				12084458	TYMS	methotrexate	
pemetrexed	GART	Inhibition				16637794	GART	pemetrexed	
methotrexate	PPAT	Inhibition				10432311	PPAT	methotrexate	
pemetrexed	DHFR	Inhibition				16637794	DHFR	pemetrexed	
Pyrimidine analogues	TYMS	Inhibition				15638735, 12724731	TYMS		
raltitrexed	TYMS	Inhibition				12819937	TYMS	raltitrexed	
methotrexate	DHFR	Inhibition				14662327, 12084458	DHFR	methotrexate	
s-adenosylmethionine	MTHFR	Inhibition				29891918	MTHFR		
ATIC	ADA	Inhibition				12106498	ATIC, ADA		
pemetrexed	TYMS	Inhibition				16637794	TYMS	pemetrexed	
purine analogues	PPAT	Inhibition				9744080, 5788533	PPAT		
methotrexate	ATIC	Inhibition				27379764	ATIC	methotrexate	
methotrexate	GART	Inhibition				16637794	GART	methotrexate	
purine nucleobase calabolic process	inosine monophosphate	Leads To				28029518			
10-formyltetrahydrofolate	purine nucleobase calabolic process	Leads To	ATIC, GART, PPAT			28029518, 16947783, 15457444, 14529544			
DNA damage [MESH:D004249]	apoptosis	Leads To				9096386			
deoxyuridine monophosphate	DNA damage [MESH:D004249]	Leads To				9806758, 9096386			
deoxythymidine monophosphate	pyrimidine biosynthetic pathway	Leads To				16098809			
