From	To	Reaction Type	Controller	Control Type	Cell Type	PMIDs	Genes	Drugs	Diseases
fructose-6-phosphate	ribose phosphate	Activation				21376665			
ribose phosphate	phosphoribosyl pyrophosphate	Biochemical Reaction				7713590			
glucose	glucose-6-phosphate	Biochemical Reaction	HK1			21376665, 18177777, 16204390, 13799836			
6-phosphogluconate	ribulose-5-phosphate	Biochemical Reaction	PGD			21376665, 20350285, 18177777, 18226191, 16204390			
ribulose-5-phosphate	ribose phosphate	Biochemical Reaction				21376665, 20122995, 7713590			
6-phosphogluconolactone	6-phosphogluconate	Biochemical Reaction	PGLS			21376665, 20350285, 18177777, 18226191, 16204390			
Nicotinamide adenine dinucleotide phosphate	Dihydronicotinamide adenine dinucleotide phosphate	Biochemical Reaction	PGD			18177777, 18226191			
Nicotinamide adenine dinucleotide phosphate	Dihydronicotinamide adenine dinucleotide phosphate	Biochemical Reaction	G6PD			21376665, 20350285, 18177777, 18226191, 16204390			
glucose-6-phosphate	fructose-6-phosphate	Biochemical Reaction	GPI			21376665, 18226191			
glucose-6-phosphate	6-phosphogluconolactone	Biochemical Reaction	G6PD			21376665, 20350285, 18177777, 18226191, 16204390			
fructose-6-phosphate	glucose-6-phosphate	Biochemical Reaction				21376665, 18226191			
adenine, phosphoribosyl pyrophosphate	adenosine diphosphate	Biochemical Reaction				7713590		adenine	
fructose-6-phosphate	glycolysis	Leads To				15862084			
Dihydronicotinamide adenine dinucleotide phosphate	Methylene Blue Pathway, Pharmacodynamics	Leads To				22024786, 12845393, 10533013, 7073040, 869945			
Dihydronicotinamide adenine dinucleotide phosphate	Methylene Blue Pathway, Pharmacodynamics	Leads To				22024786, 12845393, 10533013, 7073040, 869945			
Dihydronicotinamide adenine dinucleotide phosphate	Oxidative Stress Regulatory Pathway (Erythrocyte)	Leads To				21376665, 15862084			
adenosine diphosphate	glycolysis	Leads To				15862084, 7713590			
Dihydronicotinamide adenine dinucleotide phosphate	Oxidative Stress Regulatory Pathway (Erythrocyte)	Leads To				21376665, 15862084			
glucose	glucose	Transport	SLC2A1			15862084			
