From	To	Reaction Type	Controller	Control Type	Cell Type	PMIDs	Genes	Drugs	Diseases
dasatinib	dasatinib beta-d-glucuronide	Biochemical Reaction	UGT1A1, UGT1A9, UGT2B15			21235620, 18420784		dasatinib	
dasatinib	dasatinib carboxylic acid	Biochemical Reaction				21827214, 18556438, 18420784		dasatinib	
dasatinib	dasatinib n-oxide	Biochemical Reaction	CYP1A2, CYP1B1, CYP2C9, CYP3A4, FMO3			21827214, 18556438, 18420784		dasatinib	
dasatinib	dasatinib M4	Biochemical Reaction	CYP1A1, CYP1B1, CYP3A4			21827214, 18556438, 18420784		dasatinib	
dasatinib	dasatinib M20	Biochemical Reaction	CYP3A4, CYP3A5			21827214, 18556438, 18420784		dasatinib	
acetaminophen	acetaminophen glucuronide	Biochemical Reaction	UGT1A1, UGT1A9, UGT2B15			21235620		acetaminophen	
dasatinib	hydroxymethyl dasatinib	Biochemical Reaction	CYP3A4, CYP3A5			21827214, 18556438, 18420784		dasatinib	
dasatinib	UGT1A1	Inhibition				21235620	UGT1A1	dasatinib	
dasatinib	UGT2B15	Inhibition				21235620	UGT2B15	dasatinib	
dasatinib	UGT1A9	Inhibition				21235620	UGT1A9	dasatinib	
dasatinib	dasatinib	Transport	ABCB1, ABCG2			19785662, 17429625		dasatinib	
